left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.049974895137778357,0.04669756815708414,0.04167404334562751,0.06531544890879615,0.06622917222207751,0.047982511636775915,0.04420220307423614,0.05600496865253654,0.04167404334562751,0.04167404334562751,0.07550629693182481,0.04167404334562751,0.0491258908833385,0.04167404334562751,0.04167404334562751,0.04167404334562751,0.04167404334562751,0.06354101945249475,0.04167404334562751,0.06035363483240954
aci,0.04249095872515223,0.06631517434579727,0.04358482714863883,0.06557853403569826,0.047329032667861266,0.04426288422027281,0.048277772664643705,0.04249095872515223,0.04249095872515223,0.0637329480562987,0.07378513675582583,0.04249095872515223,0.04818733889146261,0.04527276062452285,0.04249095872515223,0.04249095872515223,0.058043827422967494,0.049196875306985376,0.04529983940132385,0.046187296106787734
acn,0.05313629323238912,0.056656159555754565,0.06592002833791102,0.05856808821291729,0.06699408244200594,0.040656716136155874,0.05503919074095422,0.040656716136155874,0.06103971190365154,0.040656716136155874,0.04157696861221562,0.0616174140142145,0.04791440562445073,0.044138688169325216,0.04284227778740087,0.04311121978672027,0.040656716136155874,0.040656716136155874,0.04995789430605729,0.048203996593252224
aco,0.03834012637701195,0.04123338650345494,0.03834012637701195,0.04847373998651579,0.0422453036829516,0.07119553993275343,0.05745261571898707,0.05413195960629902,0.06182714969301676,0.057341118036644094,0.04709450951055442,0.04117801882698482,0.03866336975952267,0.03834012637701195,0.07105566467775687,0.04170080383214774,0.044667642531719225,0.046656576928849225,0.056326917915192815,0.0637353037256138
acu,0.06246141010022845,0.04148227194496148,0.052580950450545,0.04148227194496148,0.04148227194496148,0.04148227194496148,0.05429436273638695,0.06153645698352818,0.06024164027229129,0.04321521372962476,0.04148227194496148,0.05060525489855798,0.04148227194496148,0.05002565434685567,0.06921108073547354,0.04148227194496148,0.04148437292538533,0.04154212019476177,0.051091438111911795,0.07133414089971897
acw,0.05480479521328804,0.06429394261217247,0.041402464305589,0.041402464305589,0.05402537929059636,0.041402464305589,0.041402464305589,0.041402464305589,0.05833370355004009,0.055935264258158514,0.04203696435834063,0.06085495706072369,0.041406964011618794,0.041402464305589,0.04343854983205027,0.08425453302279942,0.041402464305589,0.05785604247305696,0.04953868088764476,0.04340297329038703
adt,0.04650768820923816,0.04648103014409784,0.0465266173576925,0.04612309521831829,0.04768646785290091,0.04873985283855552,0.045755251005931766,0.10408591918911649,0.05256335196410501,0.045755251005931766,0.045755251005931766,0.045755251005931766,0.04708007630421865,0.04619139224053813,0.045755251005931766,0.04634853754929822,0.045755251005931766,0.045755251005931766,0.045755251005931766,0.05562396308446633
aei,0.044135861870521216,0.044135861870521216,0.06840500537883978,0.044135861870521216,0.044135861870521216,0.04456312058415856,0.044135861870521216,0.044424638941285795,0.06283592877773186,0.08014365141897724,0.044135861870521216,0.056830512829090636,0.04803473307377773,0.0539848021205908,0.04461441559721213,0.04749797949612044,0.044135861870521216,0.04458372721618312,0.05099458960186231,0.044135861870521216
aej,0.04616175937690267,0.04616175937690267,0.04658840193641711,0.04616175937690267,0.04616175937690267,0.04616175937690267,0.05270571037760875,0.04616175937690267,0.04616175937690267,0.04616175937690267,0.05101563174338055,0.04616175937690267,0.04616175937690267,0.04616175937690267,0.04616175937690267,0.04616175937690267,0.07308020131746966,0.04616175937690267,0.08418366397158364,0.04616175937690267
aem,0.037873535873510986,0.04635470848483405,0.05091472509242813,0.04464582775473036,0.037873535873510986,0.04151691192465268,0.044961289300859644,0.04312696769397017,0.06583050692640434,0.07232970185736481,0.04560257566073256,0.07362307815091663,0.046123134247004025,0.04339684096417652,0.04456821516186073,0.04199367584001848,0.04805253403343414,0.09074797359637236,0.03882002000033082,0.04164424156288755
