left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.8780763149261475,0.8090730905532837,0.7563647031784058,0.8041328191757202,0.633167028427124,0.8406258821487427,0.8727405667304993,0.8859717845916748,0.7355504631996155,0.7265866994857788,0.831164538860321,0.6471242904663086,0.7106646299362183,0.5199864506721497,0.8393846154212952,0.5086290240287781,0.7461005449295044,0.8300900459289551,0.7551257014274597,0.8699291944503784
aci,0.5005785822868347,0.58232581615448,0.5668627023696899,0.3834848999977112,0.5946025848388672,0.4663877487182617,0.507210373878479,0.480768084526062,0.6408430337905884,0.5610882639884949,0.6114841103553772,0.6443927884101868,0.7039501667022705,0.5469475388526917,0.3372114300727844,0.5449391007423401,0.5974764823913574,0.5468947887420654,0.5593278408050537,0.43636372685432434
acn,0.8045520186424255,0.7567837834358215,0.6972112059593201,0.7793511152267456,0.7667534947395325,0.7721564769744873,0.8927032947540283,0.6911019086837769,0.8053924441337585,0.7513145208358765,0.8322939872741699,0.5556252598762512,0.7187018394470215,0.8112653493881226,0.8370206356048584,0.688599705696106,0.6638807654380798,0.6161662340164185,0.7685024738311768,0.7418727278709412
aco,0.7250951528549194,0.42842942476272583,0.6217836737632751,0.565809965133667,0.7752070426940918,0.6536325812339783,0.586000919342041,0.42628341913223267,0.7378461956977844,0.5932434797286987,0.8206707835197449,0.5646646022796631,0.5433288812637329,0.7566162943840027,0.6919355392456055,0.7149158120155334,0.656714141368866,0.6192010641098022,0.5884186625480652,0.5916776061058044
acu,0.7994920015335083,0.687963604927063,0.790641188621521,0.7200906872749329,0.7758697271347046,0.7192444205284119,0.7264225482940674,0.785807192325592,0.6558197736740112,0.8059743046760559,0.8155315518379211,0.6262140870094299,0.7507002353668213,0.7405062317848206,0.64361971616745,0.8317546248435974,0.8295483589172363,0.6601485013961792,0.729337215423584,0.7928938865661621
acw,0.6758663654327393,0.7298539280891418,0.7504498958587646,0.7078853845596313,0.6818078756332397,0.7068531513214111,0.7059845328330994,0.8211464881896973,0.572856605052948,0.8156501054763794,0.7754058837890625,0.6696963310241699,0.47409993410110474,0.6978262662887573,0.7555441856384277,0.6401026248931885,0.7385111451148987,0.7112568616867065,0.59932541847229,0.7506712079048157
adt,0.5261074304580688,0.6916041374206543,0.6768621206283569,0.5780012011528015,0.6294112801551819,0.6976308822631836,0.6035591959953308,0.5299708247184753,0.663032054901123,0.34744787216186523,0.6480103731155396,0.7541021108627319,0.7599358558654785,0.49614086747169495,0.6323873400688171,0.7535496354103088,0.629497766494751,0.70958411693573,0.7371702194213867,0.5432519316673279
aei,0.6343940496444702,0.6961570978164673,0.5647424459457397,0.7492377758026123,0.5699925422668457,0.6624286770820618,0.6772786974906921,0.7457635402679443,0.5599587559700012,0.47032541036605835,0.6674667000770569,0.5885536670684814,0.6335850954055786,0.3264513611793518,0.5809150338172913,0.5428504347801208,0.6628922820091248,0.6125588417053223,0.6222895979881287,0.6820335984230042
aej,0.5060619711875916,0.49738627672195435,0.5767527222633362,0.6288532614707947,0.6372008323669434,0.44416844844818115,0.4723154604434967,0.662193238735199,0.6368114948272705,0.6513319611549377,0.6383466720581055,0.5723602771759033,0.5193477869033813,0.42198070883750916,0.5359009504318237,0.5542488098144531,0.3232663571834564,0.5865140557289124,0.5064257979393005,0.4786530137062073
aem,0.8043239116668701,0.6703280210494995,0.5506988167762756,0.6636138558387756,0.5196399092674255,0.7484110593795776,0.5064852237701416,0.5625893473625183,0.5995485186576843,0.8369657397270203,0.6872391104698181,0.8019314408302307,0.6082354784011841,0.8156525492668152,0.7411874532699585,0.8209187388420105,0.4863976240158081,0.7451380491256714,0.6661134362220764,0.8200343251228333
aes,0.7462007403373718,0.806759774684906,0.7390604615211487,0.7610597014427185,0.6496498584747314,0.7754935026168823,0.7020285725593567,0.780097484588623,0.7297092080116272,0.7164524793624878,0.6815165281295776,0.7085903882980347,0.7313178777694702,0.692784309387207,0.780292272567749,0.7539572715759277,0.8443183302879333,0.6538395881652832,0.8845622539520264,0.7909595370292664
afd,0.6501071453094482,0.7303216457366943,0.7564631104469299,0.7567233443260193,0.6939515471458435,0.8602369427680969,0.880678117275238,0.8528822660446167,0.7634469270706177,0.7420786619186401,0.6898205280303955,0.792688250541687,0.737893283367157,0.7275276184082031,0.806531548500061,0.7075954079627991,0.6606814861297607,0.7867000699043274,0.9063463807106018,0.7791564464569092
afl,0.5873173475265503,0.6558863520622253,0.6844841241836548,0.6678140759468079,0.7332720756530762,0.7190470695495605,0.7721964716911316,0.7649192214012146,0.7138224244117737,0.7148998379707336,0.4459657669067383,0.6514697074890137,0.7393943071365356,0.5573148131370544,0.7321346998214722,0.6352194547653198,0.6382712125778198,0.6086211800575256,0.679010808467865,0.6886838674545288
agb,0.7181279063224792,0.7228606939315796,0.7583197355270386,0.6670398712158203,0.7939646244049072,0.8196430206298828,0.7084559202194214,0.8069833517074585,0.6359692811965942,0.6683133840560913,0.6634641289710999,0.6130363941192627,0.5835129022598267,0.7905085682868958,0.6758888959884644,0.6012811660766602,0.641386091709137,0.67300945520401,0.7856361269950867,0.7452004551887512
agl,0.5279831886291504,0.7259762287139893,0.5373364686965942,0.7791727185249329,0.6891554594039917,0.6406692862510681,0.8310669660568237,0.6428797245025635,0.7332724332809448,0.7506594061851501,0.7712453603744507,0.48774945735931396,0.4885692000389099,0.6013417840003967,0.7239848375320435,0.7243716716766357,0.6627867221832275,0.6751139760017395,0.6613954901695251,0.4892951250076294
ahg,0.5763599872589111,0.608180046081543,0.8816020488739014,0.816187858581543,0.554147481918335,0.7636181712150574,0.8719636797904968,0.5902345180511475,0.5526866912841797,0.6269139051437378,0.7098291516304016,0.8017250895500183,0.8407690525054932,0.6343217492103577,0.7390350103378296,0.5112981796264648,0.8510030508041382,0.7941185832023621,0.511530876159668,0.8258522748947144
ahr,0.7201806306838989,0.593522310256958,0.7676817178726196,0.5898754596710205,0.8414881825447083,0.769136369228363,0.5730682015419006,0.7784090638160706,0.6394666433334351,0.8731125593185425,0.5430679321289062,0.6605299711227417,0.8228851556777954,0.6374402046203613,0.6222512722015381,0.8084133863449097,0.32981380820274353,0.40841686725616455,0.8498400449752808,0.6698030233383179
aik,0.6226516962051392,0.5894750952720642,0.6918522119522095,0.6684550642967224,0.6397184133529663,0.6488633751869202,0.6346509456634521,0.6249141097068787,0.6780019402503967,0.6937042474746704,0.6970114707946777,0.6583541631698608,0.5576568245887756,0.6381657123565674,0.6587332487106323,0.6985138654708862,0.7571603059768677,0.670011579990387,0.6303467154502869,0.5945201516151428
aiv,0.8525904417037964,0.6902287006378174,0.7738698720932007,0.8468550443649292,0.7909758687019348,0.6130483150482178,0.7112141847610474,0.842459499835968,0.8658466339111328,0.785657525062561,0.6477916836738586,0.7221271991729736,0.8441903591156006,0.7925958633422852,0.9094918966293335,0.7689881920814514,0.8047077655792236,0.7792187929153442,0.7823483943939209,0.5252542495727539
ajf,0.7387735843658447,0.5686934590339661,0.6458429098129272,0.827346682548523,0.6166498064994812,0.8006853461265564,0.8039032816886902,0.6783666610717773,0.6998804807662964,0.6453277468681335,0.8003450036048889,0.628333330154419,0.6449764966964722,0.6816818118095398,0.8104112148284912,0.6584703326225281,0.7083925008773804,0.7962310910224915,0.7133820056915283,0.807206392288208
ajk,0.4925110936164856,0.5048089623451233,0.7337914109230042,0.536936342716217,0.7595404982566833,0.48439300060272217,0.5814403295516968,0.6490929126739502,0.6509979367256165,0.6939984560012817,0.4986579716205597,0.6595978736877441,0.5404685735702515,0.5761886835098267,0.6810140609741211,0.4925822615623474,0.5166608691215515,0.6513762474060059,0.5787758827209473,0.38177016377449036
aka,0.8193532228469849,0.7354458570480347,0.6450952291488647,0.5910175442695618,0.7922606468200684,0.6986943483352661,0.6789885759353638,0.593730092048645,0.7821414470672607,0.6713571548461914,0.7242497801780701,0.7037651538848877,0.7223353385925293,0.5520901679992676,0.6352471113204956,0.5529349446296692,0.6122772693634033,0.7099729776382446,0.5668290853500366,0.6023896336555481
