left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.4229578,0.6223217,0.50941145,0.6326342,0.6771374,0.6100929,0.4760261,0.58054817,0.55376035,0.56383884,0.53761566,0.76108193,0.58285964,0.48541957,0.5314409,0.65590096,0.53759766,0.73225284,0.619109,0.5161921
aci,0.5558098,0.5538811,0.6103277,0.4925492,0.56552553,0.6395174,0.4498703,0.6153459,0.6141411,0.68981504,0.5083839,0.5959486,0.64929634,0.55402166,0.64937603,0.49173933,0.5626981,0.537743,0.5949511,0.50997055
acn,0.57250637,0.7136149,0.73487085,0.57028997,0.64163476,0.6989582,0.48358548,0.70561284,0.7460656,0.7857504,0.5898272,0.69307303,0.7746252,0.5758543,0.69285643,0.5933985,0.675763,0.63212913,0.71303606,0.59960365
aco,0.53504366,0.644498,0.626438,0.5519632,0.55034834,0.6409986,0.517307,0.6019559,0.69824576,0.7052887,0.48878145,0.56281847,0.6709909,0.57263106,0.6197338,0.5501011,0.56855416,0.59015226,0.69428647,0.537877
acu,0.6157023,0.5822145,0.6210031,0.5292331,0.55138266,0.61217046,0.46669146,0.6266335,0.60579354,0.62882847,0.5744267,0.6228607,0.6338186,0.5574811,0.61197114,0.51974565,0.6836988,0.5596317,0.6261153,0.50160027
acw,0.6212524,0.5450351,0.5250021,0.4999906,0.59667414,0.53482676,0.41948074,0.6304006,0.53892434,0.60183316,0.70983326,0.6045462,0.6045069,0.49737427,0.5536698,0.50488275,0.60352325,0.59120417,0.5661065,0.67472565
adt,0.50173557,0.7040484,0.5713057,0.56410384,0.6620958,0.55835587,0.45443386,0.5853813,0.6680753,0.6462755,0.60538244,0.57037175,0.6322694,0.46110934,0.53786564,0.57538503,0.5571857,0.544145,0.6135134,0.64382
aei,0.5077284,0.7146441,0.6484931,0.59022456,0.646459,0.6340176,0.5145926,0.69261336,0.6984617,0.6517544,0.5831639,0.60296154,0.6762599,0.51396185,0.5787283,0.57727593,0.5795891,0.64788234,0.6675518,0.5853782
aej,0.5438794,0.6697982,0.59909105,0.55419147,0.6031357,0.63224554,0.47535133,0.65066737,0.6843033,0.7635402,0.565621,0.5763215,0.7542788,0.4989808,0.622276,0.5425707,0.630678,0.56945413,0.68173593,0.6038141
aem,0.5936798,0.69019634,0.66854286,0.6218104,0.62629163,0.6156368,0.4640358,0.67099833,0.70031726,0.7203381,0.568152,0.7061753,0.7477018,0.56490844,0.59217304,0.59024894,0.617907,0.69142425,0.6690936,0.63079166
aes,0.56966263,0.5838027,0.5592625,0.5289322,0.6259293,0.5551593,0.5192603,0.65427756,0.6096251,0.6323025,0.5420893,0.6153796,0.6272214,0.5271364,0.5631614,0.56338495,0.61171097,0.5877735,0.5918968,0.5100687
afd,0.4886555,0.6480453,0.5586954,0.7028126,0.6455803,0.6057761,0.523667,0.6821023,0.6420379,0.57026136,0.6029372,0.58483636,0.64284825,0.4984024,0.54380745,0.63244563,0.58442545,0.61921257,0.6132726,0.5542198
afl,0.57240224,0.7071622,0.6632715,0.6151533,0.75519884,0.61577237,0.49508852,0.69871956,0.6870909,0.79131067,0.5650538,0.7035053,0.7577728,0.54302716,0.6241108,0.5984876,0.66745955,0.6270185,0.6731537,0.56359845
agb,0.42235914,0.6889137,0.5878669,0.6579402,0.6714994,0.6272811,0.48488176,0.64790255,0.6822181,0.59161544,0.56820065,0.5810623,0.67684937,0.44130123,0.5106541,0.63552666,0.57225096,0.6774128,0.71248245,0.5614741
agl,0.49420696,0.60534114,0.6211986,0.49011174,0.52419233,0.7248652,0.47049162,0.6023544,0.6323409,0.649758,0.50021404,0.5429254,0.643392,0.57598,0.6350223,0.4934389,0.5338566,0.5425829,0.5998031,0.5202782
ahg,0.4450285,0.6468686,0.5104486,0.6542921,0.668525,0.5655971,0.49974164,0.60649055,0.6094791,0.5439767,0.5835813,0.5351605,0.5934569,0.4361749,0.4791174,0.6155188,0.59317017,0.6581663,0.64231896,0.62050474
ahr,0.56368315,0.6222518,0.6581845,0.5748786,0.5819211,0.57144105,0.5011035,0.708905,0.6762384,0.68999195,0.5810527,0.6397692,0.73850787,0.5757854,0.5565361,0.5249913,0.68871826,0.5446635,0.6578349,0.50694054
aik,0.54119295,0.67726326,0.667664,0.58844054,0.5889876,0.64493,0.5689466,0.67138034,0.72743154,0.71166074,0.58668643,0.55610126,0.7548263,0.53863025,0.60553586,0.58661234,0.6327984,0.651788,0.7723732,0.55912584
aiv,0.5267782,0.67311454,0.6617613,0.58994895,0.58533,0.7562784,0.52607805,0.6316741,0.70115346,0.72879875,0.5421735,0.60600495,0.7090256,0.567692,0.73719823,0.5983398,0.5958954,0.6285488,0.69522136,0.5871149
ajf,0.7114211,0.54746497,0.613754,0.4885884,0.599586,0.56472266,0.4480933,0.7320451,0.55417395,0.6900023,0.6209501,0.65717864,0.7065902,0.5630797,0.6327437,0.45834816,0.67249763,0.52882403,0.5636227,0.5729594
ajk,0.38671082,0.6149522,0.48282412,0.65298194,0.52478766,0.57639694,0.4149533,0.5499153,0.56828284,0.48237568,0.6023865,0.49591666,0.51580495,0.443076,0.4809584,0.55431557,0.49266863,0.64967644,0.5878524,0.5100202
aka,0.6313837,0.58365285,0.51912177,0.5983593,0.58007705,0.57553965,0.52525353,0.7414903,0.5956049,0.538913,0.59078074,0.5117458,0.5773129,0.45606902,0.5179403,0.52911437,0.5867913,0.5415785,0.5765706,0.5548627
akg,0.68210673,0.6019027,0.53706723,0.5170326,0.5941616,0.5539575,0.45728353,0.6409825,0.5626144,0.59237546,0.6275273,0.53617257,0.6336535,0.45680064,0.5362161,0.5634002,0.63841426,0.6042548,0.6160492,0.64218813
alc,0.52248,0.5904367,0.6395391,0.5611088,0.5421736,0.5700368,0.41190097,0.5981292,0.6021347,0.66914093,0.52101445,0.6096703,0.6589957,0.50253546,0.5397344,0.49339357,0.5794891,0.5529635,0.56674933,0.53522694
ali,0.39514196,0.5597982,0.49058345,0.56312925,0.49999163,0.5134275,0.39079034,0.48061568,0.54076624,0.46590573,0.471474,0.45097584,0.5148295,0.38707626,0.44782108,0.49607116,0.49656782,0.5472846,0.5254855,0.5212052
alt,0.53795445,0.7906706,0.7058499,0.61794287,0.6891023,0.6843505,0.52251595,0.6739461,0.7507263,0.7232253,0.59688526,0.6766776,0.75238967,0.56606346,0.61527044,0.66059905,0.61663705,0.7627477,0.7148382,0.6034115
alx,0.6662575,0.6451606,0.6597236,0.5819686,0.64298725,0.61654484,0.50566804,0.72984236,0.64464796,0.7229738,0.6166101,0.6694443,0.7418084,0.5937862,0.61961156,0.56863916,0.6940068,0.61671513,0.6423234,0.583341
aly,0.45215452,0.56012887,0.5607696,0.4658572,0.5029038,0.56466234,0.464721,0.5198484,0.5868543,0.60264045,0.46164417,0.52036834,0.5610247,0.540888,0.5478051,0.4833339,0.5034312,0.5414051,0.53709453,0.44697347
ama,0.548115,0.7011723,0.6833631,0.5781662,0.7284885,0.64760035,0.50512886,0.64448714,0.68999463,0.70230615,0.5430106,0.6300831,0.69094396,0.6004878,0.61971927,0.65127283,0.5647325,0.71844894,0.65929306,0.5768112
amb,0.4586261,0.49649838,0.57438004,0.47578773,0.5008505,0.49773902,0.4951043,0.56677884,0.5565785,0.59851694,0.47831568,0.49205753,0.64148784,0.46474385,0.52551025,0.43344966,0.56590354,0.5022331,0.635742,0.46008828
amd,0.58185554,0.681471,0.6507803,0.5440705,0.60118115,0.6639274,0.5238308,0.68836683,0.7348022,0.72502095,0.5485575,0.5806178,0.7386942,0.5893835,0.6663237,0.56971496,0.5820541,0.62006354,0.7079634,0.55646366
amg,0.40289742,0.5062971,0.50792104,0.5623443,0.53043944,0.5266873,0.42299908,0.5309194,0.57206535,0.5324147,0.4914426,0.52570736,0.5545839,0.5108636,0.5323818,0.48700428,0.48687991,0.5115635,0.52141255,0.5025914
amh,0.51375,0.58952236,0.61577284,0.521483,0.59690684,0.62399596,0.52048737,0.5721936,0.63199097,0.64552784,0.5035926,0.5305454,0.65276694,0.5908017,0.6258384,0.6182261,0.5999426,0.60597837,0.6362554,0.5171257
amn,0.5843729,0.67816365,0.6703971,0.5797185,0.6074821,0.669049,0.48822665,0.6739584,0.7821443,0.7572959,0.57852304,0.64872366,0.7493726,0.5575247,0.6580453,0.5888835,0.62691927,0.5860674,0.7573081,0.56985843
amq,0.4324553,0.7188725,0.59175605,0.5565503,0.5580754,0.6316356,0.54043,0.58262616,0.73920953,0.678212,0.49203438,0.54254955,0.65056276,0.436415,0.5515064,0.5651169,0.5284015,0.57808936,0.67571163,0.5001919
aop,0.6583095,0.54346293,0.5499494,0.5114679,0.5740899,0.5528972,0.41917744,0.66367376,0.56157696,0.6127306,0.7052119,0.58777034,0.6482652,0.50429404,0.5804591,0.49583185,0.651947,0.5435072,0.607488,0.623817
aoq,0.5223756,0.62032557,0.57868636,0.5921073,0.778583,0.5511048,0.4570819,0.6657747,0.611366,0.6641637,0.5244363,0.638049,0.65167445,0.50317985,0.55916065,0.64694405,0.6343082,0.6514323,0.6000213,0.5600147
aoy,0.5086909,0.6426555,0.5930853,0.6524497,0.5664101,0.6128335,0.45556706,0.651297,0.66200495,0.6095965,0.6241091,0.65410614,0.65807104,0.542944,0.55945563,0.6376601,0.58422434,0.61928344,0.64607227,0.57548445
