left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.04402690858070822,0.04274533151254325,0.06169291694720723,0.04660018282086421,0.04437996467751779,0.05547577308119269,0.054298376397188125,0.03623993802076455,0.04555727019821603,0.052228672693536905,0.0456184607123034,0.06192543006006055,0.04810555790719033,0.050480506946253376,0.04993483483978945,0.05486057382551338,0.052480079986330835,0.04807111683332431,0.05862060401309775,0.046657499946397576
aci,0.047613899631684026,0.05625741745010565,0.04160841741125036,0.05308867659391147,0.04893631064294845,0.04617675382868667,0.047371305408920435,0.050087664493792323,0.047148788367130885,0.07721131811470475,0.046335538170089965,0.047101621691932175,0.06095850618987127,0.05393722640588925,0.04650272890969101,0.0421729615988212,0.04705306118418829,0.04016388956463444,0.04951247411805018,0.05076144022369704
acn,0.05253016993935496,0.07820074428584424,0.045883876633376064,0.04881920620538827,0.051455512039948394,0.041772672792493866,0.04111412132861401,0.043714709990423276,0.05144959665186316,0.03895785881976549,0.03782633354860778,0.04285212933582037,0.06190544400547138,0.055646607421881655,0.05055228369129234,0.05596907420535524,0.03520759593766977,0.04839133269727664,0.05553899787820142,0.06221173259135171
aco,0.04546163400081707,0.045867369016109695,0.047268343844000256,0.043420970010957766,0.04568787744755396,0.06691336789139568,0.05143686901611486,0.056870154612082696,0.04423468869016632,0.05240688010411774,0.04966086687762599,0.042621024346838544,0.04565538351068915,0.04389133752854101,0.04883718222438583,0.05733232079336748,0.05581602409826728,0.041718175474382085,0.06083137408568648,0.054068156426900195
acu,0.06069440493340697,0.04762591463988994,0.059668705432420144,0.04240879560501327,0.050945668615413935,0.04776108067422969,0.045475602268917635,0.049599776772949744,0.05227817695956263,0.05044439789339705,0.03885777271535028,0.048580271800632596,0.05228471186860909,0.046047141472218854,0.04832333726395235,0.0424655148336392,0.05132981422105201,0.061589561000911966,0.05443020394356019,0.04918914708487242
acw,0.03924970822531376,0.04604371901005988,0.05547526531571823,0.05392294704396252,0.06335432293655768,0.0445001139416065,0.044798968965883,0.04113588972659618,0.04543706885162393,0.05652656398289746,0.06537478267616319,0.047724807563627784,0.03919410979677123,0.04438279215776005,0.03889561373154518,0.05118674477053587,0.0440474471784727,0.09232176306774154,0.04277970328932312,0.04364766776784033
adt,0.05418905745310207,0.046917964791367194,0.043552325070406774,0.05216228699075401,0.04808717617618371,0.05160441707855459,0.061807278669686036,0.04087575724056131,0.04595135961341475,0.04253175787009819,0.05008596388102964,0.04589288021902355,0.044793922969569196,0.04413351795636333,0.06309789561973946,0.049176624258010004,0.04933500919100462,0.04898993181967375,0.06871458349605565,0.048100289635402145
aei,0.058344267570170284,0.052515155218935204,0.04871852193581641,0.04057440413481283,0.04326833355810749,0.05278629969833005,0.04587723316040352,0.05090670045739267,0.049656603553114076,0.06540691914981234,0.04364674692394873,0.055222003890638284,0.054743362902286354,0.05061644001443239,0.04569627798617687,0.04909649603355401,0.04696303829218026,0.05293695193018994,0.0529865508692364,0.040037692720461864
aej,0.06306437745098499,0.04604046825331493,0.051959600459337715,0.049952614265866876,0.060124090117445655,0.058407132704066785,0.049411411869999956,0.05521367916402592,0.04539980851496557,0.046969354801938284,0.047772547322409764,0.05681355222281301,0.041072820316697706,0.04809333908645791,0.0539321046899058,0.04495039729836346,0.048175927361655,0.04225741403514752,0.0456574661939098,0.04473189387069339
aem,0.047651782994648326,0.05399754976372215,0.046843809763495725,0.04487911916156498,0.04424732496878741,0.053772880794718377,0.04776184304481535,0.042869146234495434,0.05416829722306882,0.04834990542864625,0.05241585983814635,0.05081782488958668,0.04292584765196147,0.057387834324579015,0.043828297425075366,0.06123161504418764,0.045363106682730005,0.05002442005026198,0.05387494020620115,0.05758859450930772
aes,0.050891598137090904,0.04906315924251536,0.05006880477265517,0.04853057942962324,0.04812614436295316,0.04372531199811734,0.045703271763124075,0.060147778471909906,0.05110083480089513,0.053590473247768694,0.05397695618273554,0.053023824481038255,0.05130734099633388,0.05313598230306373,0.0488387439440115,0.04486494002053187,0.04223711947357685,0.0532718055680691,0.050690324681490755,0.04770500612249556
afd,0.05391300712121596,0.040944366122063494,0.046123006077048084,0.0541522773509426,0.05421008213839373,0.05011292842008342,0.042642134819527125,0.04265673577780851,0.04477874113407102,0.055673375383157774,0.05324135895105302,0.07204930606577005,0.043973642115931105,0.05943288490944255,0.04308647768794612,0.04677179891212636,0.04600052192727526,0.052258357206394886,0.045761610157734375,0.05221738772201447
afl,0.054611075409679265,0.03799532096256732,0.06466793235603102,0.04512510494143205,0.050907321703464896,0.039932384498649116,0.04576120249164066,0.03816914041541109,0.07563464453621252,0.05104001741705026,0.04350421709889113,0.038629679200286544,0.04728967264447766,0.06092590624830815,0.052130674441467593,0.04598714979867189,0.053136869268699316,0.05560938664933338,0.04748663905584096,0.05145566086188526
agb,0.05106514848013725,0.08030287725688906,0.03970397732955363,0.03846741879332575,0.053853580485535464,0.04429756425804165,0.040470473894867035,0.04987320994283029,0.06286031660997896,0.044535333162232627,0.04043632681415387,0.0434974617050197,0.04839063098556598,0.055500090549899,0.040789828501758205,0.043548645086062675,0.045129337666542396,0.06387130530234317,0.061217997683707094,0.05218847549155658
agl,0.049424763883989954,0.045097701650270834,0.0510281912965092,0.0526746248951576,0.05513779333941915,0.05180912590688409,0.061276409189601234,0.04600382930919757,0.047135295896748655,0.055200291765533316,0.06029669465412389,0.04200305548745076,0.04796323951807438,0.0446207691129869,0.050856316780329903,0.049282091886712384,0.04770033100543349,0.0419440430728008,0.053680456637322786,0.04686497471145301
ahg,0.04387621792541325,0.04647065619731603,0.046081768586357735,0.055969618983886416,0.05013162759451337,0.051640066224100216,0.04623620235336025,0.0701351329093533,0.039244024273932386,0.041888136663278695,0.04717228435806608,0.050227681328802336,0.04780842599575812,0.05053005872980157,0.04111970402768002,0.05954040140988012,0.05218793876039303,0.05571719250954756,0.04823663345173168,0.05578622771682777
ahr,0.0431911727124774,0.04859140283056707,0.04545728423450573,0.04668552906280236,0.058674279641077465,0.047758858094224275,0.04896063689259103,0.046339322621688585,0.04416180650085212,0.03958141281280421,0.05627255596784243,0.04554115950115342,0.0741615231910737,0.05591239762131697,0.0458297135290024,0.06741975480618607,0.044569876201593035,0.04914865079152216,0.04890019741557789,0.042842465571141713
aik,0.04222295113341277,0.048891822919644834,0.04902329893746162,0.06500432030067226,0.06010928692765287,0.04411002456407955,0.053657403263127325,0.039441856916106695,0.04333881030079119,0.05135127801887687,0.04422683353334491,0.04492840850105164,0.05106663128495189,0.045687122207001246,0.06433680958700677,0.04751424139283228,0.05420362690506454,0.04557748066155954,0.05806912328743845,0.04723866935792269
aiv,0.04796791608798179,0.058860573646314196,0.045931736241753285,0.047359686405967154,0.039309584109979256,0.04900503652528728,0.04072823758436995,0.06771754744120602,0.05605316474075306,0.04979253946294032,0.05516510101782284,0.05210293511060027,0.04349533244819541,0.039510490485994386,0.04748708841400704,0.04596270481334982,0.06270771706814954,0.05786159913877944,0.052874191004374974,0.040106818252174006
ajf,0.04105564840660991,0.05142905515238289,0.05197215644762743,0.048149526693717734,0.04495548262010151,0.04760740818690326,0.04656841240185832,0.04482048392460882,0.04168872741787563,0.0382164106503745,0.07090289962635324,0.06432047142834198,0.0547159188348176,0.049653649235039614,0.04593433235781592,0.0516719046422333,0.06441690276993715,0.05469252093342066,0.04077412535286479,0.04645396291711572
ajk,0.045304716095809085,0.04596565146607152,0.060352903597388506,0.062335687183319784,0.06097525826735617,0.045787523758671365,0.04773208484099491,0.04273149433128091,0.04962387220254093,0.05231995975124475,0.04387326266699111,0.051789213183026886,0.05313788687889033,0.050310716076238,0.04836249797776177,0.04535257564484027,0.042088011226149066,0.053856970809888396,0.04233392431319781,0.0557657897283385
aka,0.045264422081483756,0.04877514808528624,0.05666303648884922,0.04324324073326785,0.06593425215124146,0.04535126676400045,0.04687376980957838,0.049635037111471,0.04906534179589094,0.057173202787500044,0.06664112932801886,0.04600435016005658,0.046795557493802487,0.0447570548117132,0.044935207008978205,0.04746597784876361,0.05442908914559853,0.04603101642602391,0.039131638928556124,0.05583026103991924
akg,0.04660033264511665,0.04355040977875878,0.051180997876581764,0.05700998224370758,0.04340082053845031,0.05013787830440373,0.040216831003053566,0.047564841111880994,0.0477806805807432,0.03964811866989374,0.04448774522840422,0.04422760283840811,0.0629306690513295,0.04362939845399008,0.0452362468638652,0.0692297685617608,0.04541993201831747,0.04887084732509159,0.08245382364526115,0.04642307326098167
alc,0.04923810490378788,0.04512688106577705,0.04982926423919507,0.06340467524616762,0.04388550978885712,0.04596430785152896,0.04840227028789541,0.048791373814601614,0.04800408184020464,0.04628507413436224,0.04510404626957573,0.052721985398091094,0.045364711384022705,0.0646501010018353,0.05434037099478123,0.04527922402726715,0.044391009998324196,0.04480979977236623,0.055674520606833706,0.05873268737452501
ali,0.05022372105045314,0.05127366973577865,0.05744194328675873,0.04182256097072796,0.05180424997667175,0.049957059704157473,0.06579984999538921,0.04953670539206761,0.04355004095785933,0.043200142224865616,0.049563199232607845,0.04731378358441451,0.050904387643324514,0.04419390026999452,0.05456500999559883,0.05137272737069873,0.05507009972584171,0.05026785343536687,0.04559241158814884,0.04654668385927413
