left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.050020419978745345,0.05004981079352368,0.05000765504161537,0.04998807873149443,0.04988300624089536,0.050024549456561845,0.05010176931125532,0.04998691077264227,0.050048683156175756,0.05003924541021584,0.04991738300678143,0.05001211435044561,0.04993242843037273,0.049941554307700135,0.050037822743859685,0.049954308326996356,0.05002177357507118,0.05005973092047172,0.05005000171876422,0.049922753726411834
aci,0.05001379983929728,0.0500143036400914,0.050014384129445824,0.04999802956534378,0.050006449098464106,0.04999895042929455,0.0500092807644373,0.050011459766046276,0.05001439009162538,0.049963278608663154,0.0500090452829439,0.0499822791599264,0.050014384129445824,0.04999968355641052,0.05001151044163195,0.049997242821228735,0.04996124762429479,0.04997652670213166,0.050005525115843705,0.04999822923343351
acn,0.05002355055495958,0.05001383732814355,0.04998477450761465,0.04999699123169721,0.05001787384221273,0.05000940767360565,0.050009720657847936,0.05000385774505915,0.04998305844602923,0.049986502545826865,0.050016955610979644,0.04999309049462279,0.05002135611902633,0.05000536588166391,0.04986523224997734,0.05000144064865348,0.050022345988534445,0.0500235117937071,0.05001828228165193,0.05000284439818659
aco,0.04994269372221263,0.05004280304985897,0.050005740782110085,0.05003039620873637,0.04999268757013215,0.050041627846959646,0.04996154350391578,0.049990869927381804,0.04998082938711705,0.04998092471807456,0.049906580140115495,0.05001051290944154,0.05003870487314689,0.050035811893726564,0.049940904687528986,0.050035963994664236,0.050021045392726476,0.050014468665583706,0.05001176786676594,0.05001412285980113
acu,0.05013302862252775,0.0500089525959456,0.05008104664221739,0.049962679742601816,0.04999041268907695,0.050095872659168546,0.04997680940909049,0.04990956842102632,0.05003756122427644,0.04989982973826344,0.049931908533845604,0.04990587975314246,0.04997808437314103,0.04997637449888696,0.049974527662101496,0.050114807138594605,0.050086384219268636,0.05001866785543877,0.049896944787886,0.05002065943349976
acw,0.05000807159787117,0.04999762826892257,0.05001002698405268,0.0500140930013104,0.05001363391829134,0.05001611719032695,0.05001184532334392,0.05001553586109017,0.049924032522219275,0.050018308415104885,0.050016167870631886,0.0500180669284839,0.04999126320001336,0.04999154627340587,0.04998076677854748,0.049955159160679906,0.05001180060928978,0.050012501134064254,0.04998058803371613,0.05001284692863396
adt,0.05001112013721907,0.05006952908692913,0.050029133948588426,0.049940097135776435,0.049966119937100255,0.049916286543164615,0.05002639061254944,0.049923150899617366,0.050062910177392395,0.050051599179687004,0.04999757082408129,0.05005514347482583,0.050035590327517955,0.04995932113980199,0.0499083105552459,0.049995630824791026,0.0499544347965207,0.04998826785666821,0.05007661151321631,0.05003278102930682
aei,0.050015424719373036,0.05003100068030915,0.0500100708576273,0.04999147392139463,0.04999106272116759,0.04999371472409541,0.050003444905943266,0.04992994773516875,0.04998585149831597,0.0500090842117998,0.05000025295918711,0.04998249383977615,0.04996280230262696,0.0500319489907438,0.05001142417389687,0.05002650688754272,0.05003120644425388,0.04995746300689609,0.050027481949625384,0.05000734347025602
aej,0.04997103789653228,0.050001010651793416,0.05000384797073189,0.049957225495158325,0.050010059638483845,0.05001113274945941,0.050006792753495816,0.05000518919643711,0.05000590453152293,0.05000816982680491,0.050011263909046706,0.050010936010723435,0.050003538003686655,0.05000994934782738,0.05000056062965436,0.050009660208612416,0.04998632592725036,0.049997637074521026,0.04998261966966073,0.050007138508596845
aem,0.05004105128523444,0.04996387736351853,0.05005727372305218,0.04998770171895277,0.05004917676268564,0.04999617613294166,0.049941258017718766,0.05007386852867916,0.050007692195723284,0.049928093672097724,0.05005659942359359,0.04993462927786465,0.050005713056243926,0.050000801313570147,0.049938939198147715,0.04990978603193462,0.04996726653254723,0.050038850116482056,0.05004226226759589,0.050058983381416094
aes,0.04998571370944025,0.04994245990907808,0.05003178423564995,0.0500481617734557,0.049954386404046876,0.050024186353719725,0.04999166686657177,0.05002220954301195,0.0500178059785937,0.05004249419886692,0.05001979155951343,0.04996988974433452,0.04988976855069513,0.050019836280712035,0.0500043800346499,0.05003790393393207,0.049968525638566234,0.05000960511239234,0.0500334781123041,0.049985952060465286
