left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.045346207084794816,0.045694655975734126,0.06455364987581294,0.044312903079571565,0.04120357438287302,0.05316260853307934,0.04973039951383889,0.03907815798178954,0.04989100984846347,0.051790397526414435,0.044397449571150216,0.05772184259231948,0.0466080056452934,0.05239532833657464,0.05150285143037612,0.0531568370936108,0.05353135450371163,0.04842004389928639,0.061092805322586506,0.04640991780271864
aci,0.04896478145545798,0.052018689909676334,0.0410228991813358,0.05342776186723616,0.04755060028899321,0.04608962091572362,0.05098925679200933,0.05163057399996468,0.043584809999497195,0.0739264893544684,0.04734422788910812,0.047875171531848275,0.06295631609616933,0.052278951587993845,0.046817277756402806,0.043039144857026965,0.04682604544700812,0.04348205806955804,0.048041851468848186,0.05213347153167365
acn,0.05366893634764302,0.07087593888633194,0.04385604370411334,0.05431877119942226,0.05318035346813825,0.04152220596733411,0.042831148801919385,0.04298934479549262,0.04964457660979779,0.0408215350126393,0.04034566190404761,0.04686884975769604,0.06055089711147155,0.05298753721754216,0.05053426852924791,0.05055992404555891,0.03863622652275119,0.04796541773578768,0.052794859733195275,0.06504750264986951
aco,0.04611114274033854,0.04475026296474431,0.04558239885695203,0.041778177960302386,0.04504158745293266,0.06947639876558863,0.05363947465142304,0.058047025293894224,0.04254902161947741,0.053756408169834236,0.04864267288209892,0.041743481599341166,0.045273237422830896,0.04458877835154364,0.04890017618957251,0.05694598216005431,0.05303257191748566,0.040588754742509545,0.06571191049063044,0.053840535768445386
acu,0.06489135458267996,0.047385887983516096,0.05876403277107267,0.043036509820837315,0.05233228102826121,0.047381125484478384,0.043051641974626284,0.0487308849069643,0.05105780661577499,0.0494095232676388,0.04078740760258983,0.045402089718115046,0.05676455052238788,0.046461047733444436,0.047145375064842794,0.04277865338566079,0.04917140532859511,0.06460828792557156,0.05393133194954821,0.04690880233339441
acw,0.03663718717121626,0.045583216920968304,0.05766170242082264,0.056849729849461156,0.06793715148332866,0.045058668488032805,0.047290466303977,0.0398374724899823,0.04533599356399222,0.05886971212095524,0.06754652675017099,0.04511237273681251,0.03890441435720432,0.04517592403578486,0.04029045275269438,0.049093791534384784,0.04520649962177347,0.08194968670474884,0.04485648800694741,0.040802542686741744
adt,0.05322738453092495,0.047581433538773414,0.0444548347752161,0.0506642609242107,0.04763132904483794,0.050769159069866794,0.06233696870152079,0.039711681321645854,0.04529961482603892,0.04336709795762559,0.04722874186103433,0.04710571180997704,0.045814874536757526,0.04592069816658026,0.059369563407837375,0.052698555166314116,0.04903774644924911,0.048446712917527335,0.07203725427295898,0.04729637672110286
aei,0.055939085302574305,0.05284205111833377,0.04849901137847558,0.04196376316322067,0.042560566519530434,0.059183566578611804,0.046275013323430654,0.049172801013890315,0.04793570817232544,0.06602785781847921,0.04312535858160401,0.05440548719069142,0.059659876141543236,0.04594093449171854,0.045360139998524604,0.04702260616106399,0.047596070547343425,0.05519411579618251,0.04977258989089389,0.041523396811562044
aej,0.06578873595628242,0.043600060864944806,0.05288476139138,0.047658812710798776,0.05839816766605467,0.05757957897925628,0.050066030313237066,0.05338470002136961,0.04694571316756593,0.0484823914237442,0.04649593912872314,0.05515720192935301,0.042899230004994404,0.048425599621778836,0.05704850958842786,0.04402452890985312,0.05077638460340103,0.04254314776720479,0.04287768864920961,0.04496281730242058
aem,0.055770490617824124,0.04773991652498783,0.05201058567794245,0.04695021939472363,0.04749606773029594,0.058044839910094306,0.04941086293354935,0.04159539656064559,0.04606429650196636,0.043939767523254944,0.056192442607514666,0.04832883734033835,0.03983155614174417,0.05018471131629125,0.044602811870512446,0.06303631297460277,0.04339198013633039,0.05230068735121613,0.05540381602097826,0.057704400865186994
